Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_00_690.jpg;3.009058;1;0;0.6507813;99.93012;85.89962;1.210402;49.85545;0.0007023054
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_00_757.jpg;6.000702;1;0;0.70882;99.96478;85.94414;1.181574;50.15352;-0.0006993626
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_00_823.jpg;9.001078;1;0;0.7580932;99.99267;85.98186;1.205548;50.63719;-0.002787361
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_00_890.jpg;12.00082;1;0;0.8274558;100.0212;86.02271;1.219267;51.31443;-0.003734718
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_00_957.jpg;15;1;0;0.8656282;100.0592;86.08172;1.202986;52.58011;-0.004461203
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_01_023.jpg;15;1;0;0.9176128;100.0881;86.12946;1.190534;53.60202;0.003779618
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_01_090.jpg;15;1;0;0.9787842;100.1179;86.18038;1.203017;54.65818;0.01334073
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_01_157.jpg;15;1;0;1.022508;100.1581;86.25256;1.203463;56.09743;0.01993246
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_01_223.jpg;15;1;0;1.066813;100.1886;86.3101;1.203765;57.27485;0.02063389
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_01_290.jpg;13.50312;1;0;1.132508;100.2195;86.37084;1.208955;58.43004;0.0175173
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_01_357.jpg;10.50162;1;0;1.182655;100.2626;86.45612;1.218318;59.72497;-0.005044595
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_01_423.jpg;7.501244;1;0;1.233859;100.2963;86.52335;1.233472;60.49254;-0.004142723
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_01_490.jpg;4.501724;1;0;1.294264;100.3313;86.59274;1.234235;61.06747;-0.002986499
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_01_557.jpg;1.501754;1;0;1.343556;100.3812;86.6889;1.241707;61.47212;-0.0007359122
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_01_623.jpg;0;1;0;1.390972;100.421;86.76346;1.24456;61.53798;0.0005819039
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_01_690.jpg;0;1;0;1.453757;100.4623;86.84041;1.246296;61.55777;0.0008805824
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_01_757.jpg;0;1;0;1.500813;100.5194;86.94689;1.250979;61.57115;0.0009898662
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_01_823.jpg;0;1;0;1.548578;100.5638;87.02971;1.256887;61.5841;0.001010337
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_01_890.jpg;0;1;0;1.610395;100.6095;87.11497;1.261998;61.59646;0.001005616
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_01_957.jpg;0;1;0;1.655792;100.6724;87.23245;1.267936;61.61088;0.001035614
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_02_024.jpg;0;1;0;1.701819;100.7211;87.32336;1.269163;61.6209;0.001041539
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_02_090.jpg;0;1;0;1.763038;100.7711;87.41679;1.274361;61.63217;0.001058354
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_02_157.jpg;0;1;0;1.808655;100.8397;87.54507;1.278522;61.64636;0.001065214
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_02_223.jpg;0;1;0;1.85495;100.8926;87.64415;1.284538;61.65689;0.001123235
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_02_290.jpg;0;1;0;1.914692;100.9468;87.74561;1.287662;61.66873;0.001109946
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_02_357.jpg;0;1;0;1.960366;101.0211;87.88466;1.295692;61.68371;0.001143469
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_02_423.jpg;0;1;0;2.004807;101.0782;87.99168;1.296881;61.69535;0.001149314
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_02_490.jpg;0;1;0;2.064986;101.1365;88.10114;1.302674;61.70525;0.00120616
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_02_557.jpg;0;1;0;2.109638;101.2163;88.25071;1.30551;61.72081;0.001190523
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_02_623.jpg;0;1;0;2.154136;101.2775;88.3657;1.31083;61.73267;0.001241071
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_02_690.jpg;0;1;0;2.213149;101.34;88.48296;1.311416;61.7437;0.001231171
/home/alex/projects/RoboND-Rover-Project/dataset/IMG/robocam_2017_05_30_10_00_02_757.jpg;0;1;0;2.257019;101.4251;88.64304;1.317255;61.75749;0.001266428
